"Title","Description","Keywords","Publisher","Bureau Code","Program Code","Contact Name","Contact Email","Unique Identifier","Public Access Level","Access Level Comment","Format","Access URL","Last Update","License"
"DW_PIERS","Commercially purchased data from the Port Import/Export Reporting Service within the Coast Guard Business Intelligence (CGBI) system."," BI, Coverage, Decision Support System, Exposure, Reporting, Treatment,Business Intelligence","Coast Guard, United States","024:60","024:032, 024:039","Open Data (MGMT)","edmo@hq.dhs.gov","3585","non-public","contains sensitive but unclassified (SBU) information","-","-","09/06/2017","http://www.usa.gov/publicdomain/label/1.0/"
"DW_RAS","Subset of data from the Remote Access Service (RAS) within the Coast Guard Business Intelligence (CGBI) system."," BI, Coverage, Decision Support System, Exposure, Reporting, Treatment,Business Intelligence","Coast Guard, United States","024:60","024:032, 024:039","Open Data (MGMT)","edmo@hq.dhs.gov","3588","non-public","contains sensitive but unclassified (SBU) information","-","-","09/06/2017","http://www.usa.gov/publicdomain/label/1.0/"
"DW_RATS","Legacy Recruiting Analysis and Tracking System (RATS) data within the Coast Guard Business Intelligence (CGBI) system."," BI, Coverage, Decision Support System, Exposure, Reporting, Treatment,Business Intelligence","Coast Guard, United States","024:60","024:032, 024:039","Open Data (MGMT)","edmo@hq.dhs.gov","3589","non-public","contains sensitive but unclassified (SBU) information","-","-","09/06/2017","http://www.usa.gov/publicdomain/label/1.0/"
"DW_RMM","Subset of Resource Management Module (RMM) data within the Coast Guard Business Intelligence (CGBI) system."," BI, Coverage, Decision Support System, Exposure, Reporting, Treatment,Business Intelligence","Coast Guard, United States","024:60","024:032, 024:039","Open Data (MGMT)","edmo@hq.dhs.gov","3590","non-public","contains sensitive but unclassified (SBU) information","-","-","09/06/2017","http://www.usa.gov/publicdomain/label/1.0/"
"DW_RRI","Subset of Response Resource Inventory (RRI) data used for reporting within the Coast Guard Business Intelligence (CGBI) system. "," BI, Coverage, Decision Support System, Exposure, Reporting, Treatment,Business Intelligence","Coast Guard, United States","024:60","024:032, 024:039","Open Data (MGMT)","edmo@hq.dhs.gov","3591","non-public","contains sensitive but unclassified (SBU) information","-","-","09/06/2017","http://www.usa.gov/publicdomain/label/1.0/"
"DW_SAM","Subset of Shore Asset Management (SAM) data within the Coast Guard Business Intelligence (CGBI) system."," Capital Asset, Communication, Equipment, Model, Publication, Report","Coast Guard, United States","024:60","024:039","Open Data (MGMT)","edmo@hq.dhs.gov","3527","non-public","contains sensitive but unclassified (SBU) information","-","-","09/06/2017","http://www.usa.gov/publicdomain/label/1.0/"
"DW_SANS","Subset of data from the Ship Arrival Notification System (SANS) within the Coast Guard Business Intelligence (CGBI) system.
"," Communication Type, Correspondence, Notification,Communication","Coast Guard, United States","024:60","024:039","Open Data (MGMT)","edmo@hq.dhs.gov","3528","non-public","contains sensitive but unclassified (SBU) information","-","-","09/06/2017","http://www.usa.gov/publicdomain/label/1.0/"
"DW_SARMIS","Legacy Search and Rescue Management Information System (SARMIS) data within the Coast Guard Business Intelligence (CGBI) system."," BI, Coverage, Decision Support System, Exposure, Reporting, Treatment,Business Intelligence","Coast Guard, United States","024:60","024:032, 024:039","Open Data (MGMT)","edmo@hq.dhs.gov","3592","non-public","contains sensitive but unclassified (SBU) information","-","-","09/06/2017","http://www.usa.gov/publicdomain/label/1.0/"
"DW_TMT","Subset of Training Management Tool (TMT) data within the Coast Guard Business Intelligence (CGBI) system."," Coast Guard Business Intelligence, competency, course codes, course data, e-learning, learning management, personnel readiness, resource tracking, task level content, training,enterprise","Coast Guard, United States","024:60","024:000","Open Data (MGMT)","edmo@hq.dhs.gov","3529","non-public","contains sensitive but unclassified (SBU) information","-","-","09/06/2017","http://www.usa.gov/publicdomain/label/1.0/"
"DW_VDS","Subset of Vessel Documentation System (VDS) data within the Coast Guard Business Intelligence (CGBI) system."," vessel,documentation","Coast Guard, United States","024:60","024:039","Open Data (MGMT)","edmo@hq.dhs.gov","3530","non-public","contains sensitive but unclassified (SBU) information","-","-","09/06/2017","http://www.usa.gov/publicdomain/label/1.0/"
"eFOIA App","By conveying the online request process to mobile devices, requesters can submit requests and check the status of existing requests anyplace, anytime.  The mobile capabilities of the eFOIA app will greatly enhance the user experience, and provide convenience for the requester community. •Submit a FOIA request to any DHS Component.
•Check the status of FOIA requests.
•Access all of the content on the FOIA website, including the FOIA Library.
•Receive updates, changes to events such as stakeholder meetings/conference calls held by the Department, and recently published documents."," Appeal, freedom,FOIA,Request,case","U.S. Customs and Border Protection","024:54","024:000","Open Data (MGMT)","edmo@hq.dhs.gov","2016","public","Set as Public","-","https://www.dhs.gov/efoia-mobile-app","04/20/2016","http://www.usa.gov/publicdomain/label/1.0/"
"eISA Acceptance Form","This dataset contains the online agreement information needs to share Trade information via a Trade VPN. When submitted, the data is sent in an email to the business owner.  The data is sent via SMTP.  Trade Internet Virtual Private Network (TVPN) is password protected software and documentation download area"," Trade, VPN, agreement,eISA","U.S. Customs and Border Protection","024:54","024:000","Open Data (MGMT)","edmo@hq.dhs.gov","5556","public","While the form is available online via CBP.gov  - it is restricted to only the specific trade partner that is completing the form. The TVPN is password protected.","-","https://apps.cbp.gov/tvpn/tvpn.asp","12/07/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Electric Holding Company Areas","Holding companies are electric power utilities that have a holding company structure. This vector polygon layer represents the area served by electric power holding companies.�"," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","6601","public","Selected Continental United States (major mid-America river valleys)","-","https://gii.dhs.gov/gii/","06/21/2017","http://www.usa.gov/publicdomain/label/1.0/"
"Electric Planning Areas","This feature class represents electric power planning areas. The area covered by those entities which are responsible for the coordination, integration, and long-term planning of transmission operations within their region, often comprised of the retail service territories of numerous electric power utilities"," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","6598","public","Selected Continental United States (scattered coverage along major mid-America river valleys)","-","https://gii.dhs.gov/gii/","06/21/2017","http://www.usa.gov/publicdomain/label/1.0/"
"Electric Power Transmission Lines","Transmission Lines are the system of structures, wires, insulators and associated hardware that carry electric energy from one point to another in an electric power system. Lines are operated at relatively high voltages varying from 69 kV up to 765 kV, and are capable of transmitting large quantities of electricity over long distances. Underground transmission lines are included where sources were available.�"," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","6607","public","Selected Continental United States (scattered coverage along major mid-America river valleys)","-","https://gii.dhs.gov/gii/","06/21/2017","http://www.usa.gov/publicdomain/label/1.0/"
"Electric Retail Service Territories","These are areas serviced by electric power utilities responsible for the retail sale of electric power to local customers, whether residential, industrial, or commercial."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","6606","public","Selected Continental United States (major mid-America river valleys)","-","https://gii.dhs.gov/gii/","06/21/2017","http://www.usa.gov/publicdomain/label/1.0/"
"Electric Substations","Substations. Substations are facilities and equipment that switch, transform, or regulate electric voltage. The Substations feature class includes taps, a location where power on a transmission line is tapped by another transmission line."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","6599","public","Selected Continental United States (scattered coverage along major mid-America river valleys)","-","https://gii.dhs.gov/gii/","06/21/2017","http://www.usa.gov/publicdomain/label/1.0/"
"Emergency Medical Service (EMS) Stations","EMS Stations are part of the Fire Stations / EMS Stations HSIP Freedom sub-layer, which in turn is part of the Emergency Services and Continuity of Government Sector, which is itself a part of the Critical Infrastructure Category. The EMS stations dataset consists of any location where emergency medical service (EMS) personnel are stationed or based out of, or where equipment that such personnel use in carrying out their jobs is stored for ready use. Ambulance services are included even if they only provide transportation services, but not if they are located at, and operated by, a hospital."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","6617","public","Selected Continental United States (major mid-America river valleys)","-","https://gii.dhs.gov/gii/","06/22/2017","http://www.usa.gov/publicdomain/label/1.0/"
"Environmental Protection Agency (EPA) Facilities","This SEGS layer shows the names, locations and biographical information of EPA facilities in the U.S. and its territories.  Included in this layer are headquarters facilities, regional and regional satellite offices, research labs, and special offices, such as program offices and research facilities.
"," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2534","public","Continental United States; Alaska; Hawaii; Puerto Rico","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Environmental Protection Agency (EPA) Facility Registry Service (FRS) Emergency Response (ER) Comprehensive Environmental Response, Compensation, and Liability Information System (CERCLIS) Facilities - Oil and Hazardous Materials","The purpose of this web feature service is to provide users with access to integrated facility information from FRS, limited to the subset of facilities that link to the Comprehensive Environmental Response, Compensation, and Liability Information System (CERCLIS) non-NPL sites. This subset of data was identified as information that can be used in the Hazardous Materials Emergency Support Function #10. Additional contact, state ids, NAICs, and SIC attributes are linked by registry id. It contains only active facilities."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2535","public","Continental United States; Alaska; American Samoa; Guam; Hawaii; Misc. Islands; Puerto Rico; U.S. Virgin Islands","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Environmental Protection Agency (EPA) Facility Registry Service (FRS) Emergency Response (ER) Facility Response Plan (FRP) Facilities - Oil and Hazardous Materials","The purpose of this web feature service is to provide users with access to integrated facility information from FRS, limited to the subset of facilities that link to the Oil FRP database. This subset of data was identified as information that can be used in the Hazardous Materials Emergency Support Function #10. Additional contact, state ids, NAICs, and SIC attributes are linked by registry id. It contains only active facilities."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2536","public","Continental United States; Alaska; American Samoa; Guam; Hawaii; Puerto Rico","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Environmental Protection Agency (EPA) Facility Registry Service (FRS) Emergency Response (ER) Resource Conservation and Recovery Act, Treatment, Storage, and Disposal (RCRATSD) Facilities - Oil and Hazardous Materials","The purpose of this web feature service is to provide users with access to integrated facility information from FRS, limited to the subset of hazardous waste Treatment, Storage, and Disposal (TSD) facilities that link to the Resource Conservation and Recovery Act Information System (RCRAInfo). This subset of data was identified as information that can be used in the Hazardous Materials Emergency Support Function #10. Additional contact, state ids, NAICs, and SIC attributes are linked by registry id. It contains only active facilities."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2537","public","Continental United States; Alaska; Guam; Hawaii; Puerto Rico","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Environmental Protection Agency (EPA) Facility Registry Service (FRS) Emergency Response (ER) Risk Management Plan (RMP) Facilities - Oil and Hazardous Materials","The purpose of this web feature service is to provide users with access to integrated facility information from FRS, limited to the subset of facilities that link to the Risk Management Plan (RMP) database. This subset of data was identified as information that can be used in the Hazardous Materials Emergency Support Function #10. Additional contact, state ids, NAICs, and SIC attributes are linked by registry id. It contains only active facilities."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2528","public","Continental United States; Alaska; American Samoa; Guam; Hawaii; Puerto Rico; U.S. Virgin Islands","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Environmental Protection Agency (EPA) Facility Registry Service (FRS) Emergency Response (ER) Toxic Release Inventory (TRI) Facilities - Oil and Hazardous Materials","The purpose of this web feature service is to provide users with access to integrated facility information from FRS, limited to the subset of facilities that link to the Toxic Release Inventory (TRI). This subset of data was identified as information that can be used in the Hazardous Materials Emergency Support Function #10. Additional contact, state ids, NAICs, and SIC attributes are linked by registry id. It contains only active facilities."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2529","public","Continental United States; Alaska; American Samoa; Guam; Hawaii; Puerto Rico; U.S. Virgin Islands","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Environmental Protection Agency (EPA) Facility Registry Service (FRS) Emergency Response (ER) Toxic Substances Control Act (TSCA) Facilities - Oil and Hazardous Materials","The purpose of this web feature service is to provide users with access to integrated facility information from FRS, limited to the subset of facilities that link to the Toxic Substances Control Act (TSCA). This subset of data was identified as information that can be used in the Hazardous Materials Emergency Support Function #10. Additional contact, state ids, NAICs, and SIC attributes are linked by registry id. It contains only active facilities."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2562","public","Continental United States; Alaska; Hawaii; Puerto Rico; Germany, Netherlands, Japan","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Environmental Protection Agency (EPA) Facility Registry Service (FRS) Power Plants","This GIS dataset contains data on wastewater treatment plants, based on EPA's Facility Registry Service (FRS) and NPDES, along with Clean Watersheds Needs Survey (CWNS) and other data sources."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2563","public","Continental United States, Alaska & Hawaii","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Environmental Protection Agency (EPA) Facility Registry Service (FRS) Wastewater Treatment Plants","This GIS dataset contains data on wastewater treatment plants, based on EPA's Facility Registry Service (FRS) and NPDES, along with Clean Watersheds Needs Survey (CWNS) and other data sources."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2564","public","Continental United States, Alaska, Hawaii, Puerto Rico, U.S. Virgin Islands, American Samoa, Guam & Northern Marianas","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Environmental Protection Agency (EPA) Regions","This SEGS dataset delineates EPA Region boundaries and was created by U.S. EPA using 2011 TIGER/Line state boundaries from the U.S. Census Bureau."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2565","public","United States, Puerto Rico, Guam, U.S. Virgin Islands, American Samoa, Northern Mariana Islands","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"ESTA Traveler Information ","ESTA exchanges the same information with NCTC, FBI-FTTTF, and DOD-JIATF. The interface provides traveler information including passport, birth, and citizenship information as well as travel details"," Aircraft, Airliner, Airplane, Application, Biographic, Documents, Plane, Request, Sightseeing, Submission, Tourism, Travel, Traveler, Vetting, Viewing, Visa,Screening","U.S. Customs and Border Protection","024:54","024:015, 024:024, 024:025, 024:040, 024:043, 024:044","Open Data (MGMT)","edmo@hq.dhs.gov","6656","non-public","Contains PII","-","-","06/27/2017","http://www.usa.gov/publicdomain/label/1.0/"
"Estimates of the Lawful Permanent Resident Population in the United States: January 2013","This report presents estimates of the lawful permanent resident (LPR) population living in the United States on January 1, 2013. The LPR population includes persons granted lawful permanent residence, for example, ""green card"" recipients, but not those who had become U.S. citizens. The estimates are shown for the total LPR population and the LPR population eligible to apply to naturalize by country of birth, state of residence, and the year LPR status was obtained. Data for the estimates were obtained primarily from administrative records of U.S. Citizenship and Immigration Services of DHS."," Apprehensions, Green Card, I94, LPR, Legal, Population, Residents, Statistics,Immigration Statistics","Under Secretary / Management","024:10","024:015, 024:026, 024:040, 024:043, 024:044, 024:047, 024:048","Open Data (MGMT)","edmo@hq.dhs.gov","2376","public","-","-","https://www.dhs.gov/immigration-statistics/population-estimates/LPR","05/15/2017","http://www.usa.gov/publicdomain/label/1.0/"
"Estimates of the Legal Permanent Resident Population: 2009","This report presents estimates of the legal permanent resident (LPR) population living in the United States on January 1, 2009. The LPR population includes persons granted lawful permanent residence, for example, “green card” recipients, but not those who had become U.S. citizens."," Apprehensions, Green Card, I94, LPR, Legal, Naturalization, Population, Removals, Residents, Statistics,Immigration Statistics","Under Secretary / Management","024:10","024:015, 024:026, 024:040, 024:043, 024:044, 024:047, 024:048","Open Data (MGMT)","edmo@hq.dhs.gov","1696","public","-","-","https://www.dhs.gov/xlibrary/assets/statistics/publications/lpr_pe_2009.pdf","04/21/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Estimates of the Legal Permanent Resident Population: 2011","This report presents estimates of the legal permanent resident (LPR) population living in the United States on January 1, 2011. The LPR population includes persons granted lawful permanent residence, for example, ""green card"" recipients, but not those who had become U.S. citizens."," Apprehensions, Green Card, I94, LPR, Legal, Naturalization, Population, Removals, Residents, Statistics,Immigration Statistics","Under Secretary / Management","024:10","024:015, 024:026, 024:040, 024:043, 024:044, 024:047, 024:048","Open Data (MGMT)","edmo@hq.dhs.gov","1693","public","-","-","https://www.dhs.gov/sites/default/files/publications/immigration-statistics/ois_lpr_pe_2011.pdf","04/21/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Estimates of the Legal Permanent Resident Population: 2012","This report presents estimates of the legal permanent resident (LPR) population living in the United States on January 1, 2012. The LPR population includes persons granted lawful permanent residence, for example, ""green card"" recipients, but not those who had become U.S. citizens."," Apprehensions, Green Card, I94, LPR, Legal, Naturalization, Population, Removals, Residents, Statistics,Immigration Statistics","Under Secretary / Management","024:10","024:015, 024:026, 024:040, 024:043, 024:044, 024:047, 024:048","Open Data (MGMT)","edmo@hq.dhs.gov","1691","public","-","-","https://www.dhs.gov/sites/default/files/publications/ois_lpr_pe_2012.pdf","04/21/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Estimates of the Resident Nonimmigrant Population in the United States: 2008","This report presents estimates on the size and characteristics of the resident nonimmigrant population in the United States in 2008.1 The estimates were based on administrative records of the Department of Homeland Security using a modified version of the method employed in previous DHS estimates (Grieco, 2006)."," Analyze, LPR, Legal, Naturalization, Non-Immigrant, Quantitative, Residents, Statistics,Immigration Statistics","Under Secretary / Management","024:10","024:015, 024:026, 024:040, 024:043, 024:044, 024:047, 024:048","Open Data (MGMT)","edmo@hq.dhs.gov","1703","public","-","-","https://www.dhs.gov/xlibrary/assets/statistics/publications/ois_ni_pe_2008.pdf","04/21/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Estimates of the Size and Characteristics of the Resident Nonimmigrant Population in the United States: January 2011","This report presents estimates of the size and characteristics of the resident nonimmigrant population in the United States. The estimates are daily averages for the 12-month period centered on January 1, 2011."," Analyze, Characteristics, LPR, Legal, Naturalization, Non-Immigrant, Population, Quantitative, Residents, Size, Statistics,Immigration Statistics","Under Secretary / Management","024:10","024:015, 024:026, 024:040, 024:043, 024:044, 024:047, 024:048","Open Data (MGMT)","edmo@hq.dhs.gov","1692","public","-","-","https://www.dhs.gov/sites/default/files/publications/immigration-statistics/ois_ni_pe_2011.pdf","04/21/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Estimates of the Size and Characteristics of the Resident Nonimmigrant Population in the United States: January 2012","This report presents estimates of the size and characteristics of the resident nonimmigrant population in the United States. The estimates are daily averages for the 12-month period centered on January 1, 2012."," Green Card, Naturalization, Population, Statistics","Under Secretary / Management","024:10","024:015, 024:026, 024:040, 024:043, 024:044, 024:047, 024:048","Open Data (MGMT)","edmo@hq.dhs.gov","1690","public","-","-","https://www.dhs.gov/sites/default/files/publications/ois_ni_pe_2012.pdf","04/21/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Estimates of the Unauthorized Immigrant Population Residing in the United States: January 2005","This report provides estimates of the number of
unauthorized immigrants residing in the United States
in January 2005 by period of entry, country of origin,
and state of residence."," Analyze, Apprehensions, Country of Origin, Green Card, I94, Immigrant, LPR, Naturalization, Period, Population, Quantitative, Removals, Residency, Residents, Size, Statistics, Unauthorized,Immigration Statistics","Under Secretary / Management","024:10","024:015, 024:026, 024:040, 024:043, 024:044, 024:047, 024:048","Open Data (MGMT)","edmo@hq.dhs.gov","1701","public","-","-","http://www.dhs.gov/xlibrary/assets/statistics/publications/ILL_PE_2005.pdf","05/12/2015","http://www.usa.gov/publicdomain/label/1.0/"
"Estimates of the Unauthorized Immigrant Population Residing in the United States: January 2005","This report provides estimates of the number of
unauthorized immigrants residing in the United States
in January 2005 by period of entry, country of origin,
and state of residence."," Analyze, Apprehensions, Country of Origin, Green Card, I94, Immigrant, LPR, Naturalization, Period, Population, Quantitative, Removals, Residency, Residents, Size, Statistics, Unauthorized,Immigration Statistics","Under Secretary / Management","024:10","024:015, 024:026, 024:040, 024:043, 024:044, 024:047, 024:048","Open Data (MGMT)","edmo@hq.dhs.gov","1702","public","-","-","https://www.dhs.gov/xlibrary/assets/statistics/publications/ILL_PE_2005.pdf","04/21/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Estimates of the Unauthorized Immigrant Population Residing in the United States: January 2006","This report provides estimates of the number of unauthorized immigrants residing in the United States as of January 2006 by period of entry, region and country of origin, and state of residence. The estimates were obtained using the same “residual” methodology employed for estimates of the unauthorized population in 2005 (see Hoefer, Rytina and Campbell, 2006)."," Analyze, Apprehensions, Country of Origin, Green Card, I94, Immigrant, LPR, Naturalization, Period, Population, Quantitative, Removals, Residency, Residents, Size, Statistics, Unauthorized,Immigration Statistics","Under Secretary / Management","024:10","024:015, 024:026, 024:040, 024:043, 024:044, 024:047, 024:048","Open Data (MGMT)","edmo@hq.dhs.gov","1700","public","-","-","https://www.dhs.gov/xlibrary/assets/statistics/publications/ill_pe_2006.pdf","04/21/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Estimates of the Unauthorized Immigrant Population Residing in the United States: January 2007","This report provides estimates of the number of unauthorized immigrants residing in the United States as of January 2007 by period of entry, region and country of origin, state of residence, age and gender. The estimates were obtained using the “residual” methodology employed for estimates of the unauthorized population in 2005 and 2006 (see Hoefer, Rytina and Campbell, 2006; 2007)."," Analyze, Apprehensions, Country of Origin, Green Card, I94, Immigrant, LPR, Naturalization, Period, Population, Quantitative, Removals, Residency, Residents, Size, Statistics, Unauthorized,Immigration Statistics","Under Secretary / Management","024:10","024:015, 024:026, 024:040, 024:043, 024:044, 024:047, 024:048","Open Data (MGMT)","edmo@hq.dhs.gov","1699","public","-","-","https://www.dhs.gov/xlibrary/assets/statistics/publications/ois_ill_pe_2007.pdf","04/21/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Estimates of the Unauthorized Immigrant Population Residing in the United States: January 2008","This report provides estimates of the number of unauthorized immigrants residing in the United States as of January 2008 by period of entry, region and country of origin, state of residence, age and gender. The estimates were obtained using the “residual” methodology employed for estimates of the unauthorized population in 2007 (see Hoefer, Rytina and Baker, 2008)."," Analyze, Apprehensions, Country of Origin, Green Card, I94, Immigrant, LPR, Naturalization, Period, Population, Quantitative, Removals, Residency, Residents, Size, Statistics, Unauthorized,Immigration Statistics","Under Secretary / Management","024:10","024:015, 024:026, 024:040, 024:043, 024:044, 024:047, 024:048","Open Data (MGMT)","edmo@hq.dhs.gov","1698","public","-","-","https://www.dhs.gov/xlibrary/assets/statistics/publications/ois_ill_pe_2008.pdf","04/21/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Estimates of the Unauthorized Immigrant Population Residing in the United States: January 2009","This report provides estimates of the number of unauthorized immigrants residing in the United States as of January 2009 by period of entry, region and country of origin, state of residence, age, and gender. The estimates were obtained using the “residual” methodology employed for estimates of the unauthorized population in 2008 (see Hoefer, Rytina, and Baker, 2009)."," Analyze, Apprehensions, Country of Origin, Green Card, I94, Immigrant, LPR, Naturalization, Period, Population, Quantitative, Removals, Residency, Residents, Size, Statistics, Unauthorized,Immigration Statistics","Under Secretary / Management","024:10","024:015, 024:026, 024:040, 024:043, 024:044, 024:047, 024:048","Open Data (MGMT)","edmo@hq.dhs.gov","1697","public","-","-","https://www.dhs.gov/xlibrary/assets/statistics/publications/ois_ill_pe_2009.pdf","04/21/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Estimates of the Unauthorized Immigrant Population Residing in the United States: January 2010","This report provides estimates of the size of the unauthorized immigrant population residing in the United States as of January 2010 by period of entry, region and country of origin, state of residence, age, and gender."," Analyze, Apprehensions, Country of Origin, Green Card, I94, Immigrant, LPR, Naturalization, Period, Population, Quantitative, Removals, Residency, Residents, Size, Statistics, Unauthorized,Immigration Statistics","Under Secretary / Management","024:10","024:015, 024:026, 024:040, 024:043, 024:044, 024:047, 024:048","Open Data (MGMT)","edmo@hq.dhs.gov","1695","public","-","-","https://www.dhs.gov/xlibrary/assets/statistics/publications/ois_ill_pe_2010.pdf","04/21/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Estimates of the Unauthorized Immigrant Population Residing in the United States: January 2011","This report provides estimates of the size of the unauthorized immigrant population residing in the United States as of January 2011 by period of entry, region and country of origin, state of residence, age, and sex. "," Analyze, Apprehensions, Country of Origin, Green Card, I94, Immigrant, LPR, Naturalization, Period, Population, Quantitative, Removals, Residency, Residents, Size, Statistics, Unauthorized,Immigration Statistics","Under Secretary / Management","024:10","024:015, 024:026, 024:040, 024:043, 024:044, 024:047, 024:048","Open Data (MGMT)","edmo@hq.dhs.gov","1694","public","-","-","https://www.dhs.gov/sites/default/files/publications/ois_ill_pe_2011.pdf","05/12/2015","http://www.usa.gov/publicdomain/label/1.0/"
"Estimates of the Unauthorized Immigrant Population Residing in the United States: January 2012","This report provides estimates of the size of the unauthorized immigrant population residing in the United States as of January 2012 by period of entry, region and country of origin, state of residence, age, and sex."," Analyze, Apprehensions, Country of Origin, Green Card, I94, Immigrant, LPR, Naturalization, Period, Population, Quantitative, Removals, Residency, Residents, Size, Statistics, Unauthorized,Immigration Statistics","Under Secretary / Management","024:10","024:015, 024:026, 024:040, 024:043, 024:044, 024:047, 024:048","Open Data (MGMT)","edmo@hq.dhs.gov","1689","public","-","-","https://www.dhs.gov/sites/default/files/publications/ois_ill_pe_2012_2.pdf","04/21/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Federal Aviation Administration (FAA) Regions","Federal Aviation Administration (FAA) official regions."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2566","public","Continental United States, Alaska & Hawaii","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Federal Bureau of Investigation (FBI) Field Office Jurisdiction/Divisions","This dataset represents the FBI (Federal Bureau of Investigations) national field office jurisdiction/divisional boundary locations. The field offices are centrally located in metropolitan areas and carry out investigations, assess local and regional crime threats, and work closely with partners on cases and operations."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","6633","public","Selected Continental United States (major mid-America river valleys)","-","https://gii.dhs.gov/gii/","06/22/2017","http://www.usa.gov/publicdomain/label/1.0/"
"Federal Bureau of Investigation (FBI) Resident Agency (RA) Districts","This dataset represents the area of responsibility for each FBI resident agency"," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","6632","public","Selected Continental United States (major mid-America river valleys)","-","https://gii.dhs.gov/gii/","06/22/2017","http://www.usa.gov/publicdomain/label/1.0/"
