OBJECTID_1,ID,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,PORT_TYPE,BORDPATSEC,CONTACT,FAX_NUMBER,HOURS_OPER,REMARK,RULEID,OBJECTID
46,45,"RICHMOND-PETERSBURG PORT OF ENTRY, RICHMOND INTERNATIONAL AIRPORT",804-226-9675,1 RICHARD E BYRD TERMINAL DRIVE, ,RICHMOND,VA,23250,2450,HENRICO,51087, , , , ,2009-09-17T00:00:00.000Z,PHONE,2009-09-18T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,128060887,-77.3327603,37.5076932,NAVTEQ,2009Q2,ONENTITY,NO,TGS,AIRPORT, ,PORT DIRECTOR,804-226-1197,8:00 AM - 5:00 PM,1-877-CUSTOMS,1,189
47,46,"SANFORD PORT OF ENTRY, ORLANDO SANFORD INTERNATIONAL AIRPORT",407-322-6019,1100 RED CLEVELAND BOULEVARD, ,SANFORD,FL,32773,4201,SEMINOLE,12117, , , , ,2009-09-17T00:00:00.000Z,PHONE,2009-09-16T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,756374571,-81.2454492,28.7760355,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT, ,PORT DIRECTOR,407-330-5825,9:00 AM - 5:00 PM,1-877-CUSTOMS,1,53
48,47,"PHILADELPHIA PORT OF ENTRY, ATLANTIC CITY INTERNATIONAL AIRPORT",609-484-1610,AMELIA EARHART BOULEVARD, ,EGG HARBOR TOWNSHIP,NJ,08234, ,ATLANTIC,34001, , , , ,2009-09-16T00:00:00.000Z,PHONE,2009-09-16T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,125406193,-74.5725462,39.451243,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT, ,PORT DIRECTOR, ,8:00AM - 4:30PM,1-877-CUSTOMS,1,122
49,48,"EUREKA PORT OF ENTRY, PORT OF HUMBOLDT BAY",707-442-4822,317 THIRD STREET,SUITE 6,EUREKA,CA,95501,0487,HUMBOLDT,06023, , , , ,2009-09-17T00:00:00.000Z,PHONE,2009-09-17T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,91479917,-124.1681717,40.8036154,NAVTEQ,2009Q2,ONENTITY,YES,TGS,WATER PORT, ,PORT DIRECTOR,707-442-0152,8:00 AM - 12:00 PM, ,1,22
50,49,"SUGAR LAND PORT OF ENTRY, SUGAR LAND REGIONAL AIRPORT",281-277-1453,12888 STATE HIGHWAY 6 SOUTH, ,SUGAR LAND,TX,77478, ,FORT BEND,48157, , , , ,2009-09-17T00:00:00.000Z,ALT REF,2009-09-18T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,129433342,-95.6529152,29.6271649,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, , , , , ,0,0
51,50,"MANCHESTER PORT OF ENTRY, MANCHESTER-BOSTON REGIONAL AIRPORT",603-628-6264,1 AIRPORT ROAD,OLD TERMINAL,MANCHESTER,NH,03103,7450,HILLSBOROUGH,33011, , , , ,2009-09-11T00:00:00.000Z,ALT REF,2009-09-11T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,31125548,-71.4387732,42.9335578,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR, , , ,1,204
52,51,"NEW ORLEANS PORT OF ENTRY, PORT OF NEW ORLEANS",504-623-6670,701 LOYOLA AVENUE,13TH FLOOR,NEW ORLEANS,LA,70113,1912,ORLEANS,22071,PLOTTED AT INSPECTORS STATION - TRAVEL TO SEVERAL DOCKS TO PERFORM THEIR DUTIES, , , ,2009-09-17T00:00:00.000Z,PHONE,2009-09-18T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,18297819,-90.0770868,29.9483603,NAVTEQ,2009Q2,ONENTITY,YES,TGS,WATER PORT, ,PORT DIRECTOR,504-670-2059,8:00 AM - 5:00 PM, ,1,85
53,52,"CHARLESTON PORT OF ENTRY, YEAGER AIRPORT",304-347-5204,176 AIRPORT ROAD, ,CHARLESTON,WV,25311,1056,KANAWHA,54039, , , , ,2009-09-17T00:00:00.000Z,ALT REF,2009-09-17T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,129973739,-81.5964236,38.3706167,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR,304-347-5520,8:00 AM - 5:00 PM, ,1,203
54,53,"LONGVIEW PORT OF ENTRY, PORT OF LONGVIEW",360-425-3710,1450 TERMINAL WAY, ,LONGVIEW,WA,98632,1042,COWLITZ,53015, , , , ,2009-09-16T00:00:00.000Z,PHONE,2009-09-16T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,121633593,-122.9535193,46.1082896,NAVTEQ,2009Q2,ONENTITY,YES,TGS,WATER PORT, ,PORT DIRECTOR,360-425-1657,8:00 AM - 5:00 PM, ,1,195
55,54,"DULUTH MINNESOTA AND SUPERIOR WISCONSIN PORT OF ENTRY, SKY HARBOR AIRPORT",218-733-0078,5000 MINNESOTA AVENUE, ,DULUTH,MN,55802,3151,ST LOUIS,27137, , , , ,2009-09-11T00:00:00.000Z,ALT REF,2009-09-11T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,122742065,-92.0460549,46.7262298,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, , , , , ,0,0
56,55,"ORLANDO EXECUTIVE AIRPORT PORT OF ENTRY, ORLANDO EXECUTIVE AIRPORT",407-897-5102,365 RICKENBACKER DRIVE, ,ORLANDO,FL,32803, ,ORANGE,12095, , , , ,2009-09-17T00:00:00.000Z,ALT REF,2009-09-17T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,23008973,-81.3319847,28.5488428,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, , , , , ,0,0
57,56,"NAWILIWILI-PORT ALLEN PORT OF ENTRY, LIHUE AIRPORT",808-822-5673,3901 MOKULELE LOOP, ,LIHUE,HI,96766,9705,KAUAI,15007, , , , ,2009-09-11T00:00:00.000Z,ALT REF,2009-09-11T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,115749645,-159.348829,21.9781842,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR, ,8:00 AM - 5:00 PM, ,1,64
58,57,"SAINT CROIX PORT OF ENTRY, HENRY E ROHLSEN AIRPORT",340-773-1490,AIRPORT ROAD, ,KINGSHILL,VI,00850, ,ST CROIX ISLAND,78010, , , , ,2009-09-17T00:00:00.000Z,PHONE,2009-09-17T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,120294710,-64.7969698,17.6992466,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT, , , , , ,0,0
59,58,"DUNSEITH PORT OF ENTRY, INTERNATIONAL PEACE GARDEN AIRPORT",701-263-4460,10947 UNITED STATES HIGHWAY 281, ,DUNSEITH,ND,58329, ,ROLETTE,38079, , , , ,2010-01-12T00:00:00.000Z,ALT REF,2010-01-12T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,125710246,-100.0524076,48.998398,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, , , , , ,0,0
60,59,"VICKSBURG PORT OF ENTRY, PORT OF VICKSBURG",601-638-1532,1900 CHERRY STREET,2ND FLOOR,VICKSBURG,MS,39180,3802,WARREN,28149, , , , ,2010-01-12T00:00:00.000Z,PHONE,2010-01-12T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,99174076,-90.879777,32.3425505,NAVTEQ,2009Q2,ONENTITY, ,TGS,INLAND PORT, ,PORT DIRECTOR,601-932-4114,8:00 AM - 4:00 PM, ,1,109
61,60,"SYRACUSE PORT OF ENTRY, PORT OF OSWEGO",315-455-8446,1 EAST 2ND STREET, ,OSWEGO,NY,13126,1177,OSWEGO,36075, , , , ,2010-01-12T00:00:00.000Z,PHONE,2010-01-12T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,735495390,-76.5112836,43.4649176,NAVTEQ,2009Q2,ONENTITY,NO,TGS,WATER PORT, , , , , ,0,0
62,61,"GRAND RAPIDS PORT OF ENTRY, MUSKEGON SEAPORT",616-942-5245,6450 AIR CARGO DRIVE SOUTHEAST, ,GRAND RAPIDS,MI,49512,9705,MUSKEGON,26121,PLOTTED AT APPROXIMATE CENTER OF COMMERCIAL WATERFRONT AREA AT PORT. ADDRESS GOES TO ADMINISTRATION BUILDING., , , ,2010-01-06T00:00:00.000Z,ALT REF,2010-01-12T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,127335282,-86.2608591,43.2363644,NAVTEQ,2009Q2,APPROXIMATE, ,TGS,WATER PORT, , , , , ,0,0
63,62,"GRAND RAPIDS PORT OF ENTRY, HOLLAND SEAPORT",616-942-5245,6450 AIR CARGO DRIVE SOUTHEAST, ,GRAND RAPIDS,MI,49512,9705,OTTAWA,26139,PLOTTED AT APPROXIMATE CENTER OF COMMERCIAL WATERFRONT AREA AT PORT. ADDRESS GOES TO ADMINISTRATION BUILDING., , , ,2010-01-06T00:00:00.000Z,ALT REF,2010-01-12T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,38539548,-86.200763,42.7743153,NAVTEQ,2009Q2,APPROXIMATE, ,TGS,WATER PORT, , , , , ,0,0
64,63,"GRAND RAPIDS PORT OF ENTRY, MANISTEE SEAPORT",616-942-5245,6450 AIR CARGO DRIVE SOUTHEAST, ,GRAND RAPIDS,MI,49512,9705,MANISTEE,26101,PORT HANDLES PLEASURE BOATS. PLOTTED AT APPROXIMATE CENTER OF PORT. ADDRESS GOES TO ADMINISTRATION BUILDING., , , ,2010-01-06T00:00:00.000Z,ALT REF,2010-01-12T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,107995184,-86.3400259,44.2471934,NAVTEQ,2009Q2,APPROXIMATE, ,TGS,WATER PORT, , , , , ,0,0
65,64,"SAULT SAINTE MARIE PORT OF ENTRY / SAGINAW/BAY CITY/FLINT PORT OF ENTRY, MUNISING SEAPORT",906-632-2631,900 INTERNATIONAL BRIDGE PLAZA, ,SAULT SAINTE MARIE,MI,49783, ,ALGER,26003,PORT HANDLES PLEASURE BOATS. PLOTTED AT APPROXIMATE CENTER OF PORT. ADDRESS GOES TO ADMINISTRATION BUILDING FOR THE SAULT SAINTE MARIE PORT OF ENTRY., , , ,2010-01-07T00:00:00.000Z,ALT REF,2010-01-07T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,122988359,-86.6532345,46.4136595,NAVTEQ,2009Q2,APPROXIMATE, ,TGS,WATER PORT, , , , , ,0,0
66,65,"PORT OF ENTRY AT MOSES LAKE, GRANT COUNTY INTERNATIONAL AIRPORT",509-762-2667,7810 ANDREWS STREET NORTHEAST,ROOM 4,MOSES LAKE,WA,98837,3204,GRANT,53025, , , , ,2009-09-15T00:00:00.000Z,ALT REF,2009-09-15T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,21171391,-119.323452,47.1901066,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR,509-762-2668,8:00 AM - 5:00 PM, ,1,196
67,66,"AGUADILLA PORT OF ENTRY, RAFAEL HERNANDEZ AIRPORT",787-882-3556,BROMON DRIVE,RAFAEL HERNANDEZ AIRPORT HANGER 405,AGUADILLA,PR,00603, ,AGUADILLA,72005, , , , ,2009-09-15T00:00:00.000Z,PHONE,2009-09-15T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,129366565,-67.1356232,18.4956568,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT, ,PORT DIRECTOR,787-882-3523,8:00 AM - 7:00 PM, ,1,155
68,67,"PORT HUENEME PORT OF ENTRY, PORT OF HUENEME",805-488-8574,333 PONOMA STREET, ,PORT HUENEME,CA,93041,2921,VENTURA,06111, , , , ,2009-09-15T00:00:00.000Z,PHONE,2009-09-15T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,24183721,-119.2003993,34.1510911,NAVTEQ,2009Q2,ONENTITY,YES,TGS,WATER PORT, ,PORT DIRECTOR,805-488-1224,8:30 AM - 4:30 PM, ,1,24
69,68,"MOBILE PORT OF ENTRY, PORT OF MOBILE",251-441-5106,150 NORTH ROYAL STREET, ,MOBILE,AL,36602,3922,MOBILE,01097, , , , ,2009-09-11T00:00:00.000Z,PHONE,2009-09-11T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,105193888,-88.041537,30.6961856,NAVTEQ,2009Q2,ONENTITY,YES,TGS,WATER PORT, ,PORT DIRECTOR,334-441-6061,8:00 AM - 5:00 PM, ,1,17
70,69,"NEW LONDON PORT OF ENTRY, NEW LONDON PORT",860-442-7123,150 BANK STREET, ,NEW LONDON,CT,06320,6002,NEW LONDON,09011, , , , ,2009-09-11T00:00:00.000Z,ALT REF,2009-09-11T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,33962360,-72.0954944,41.3522953,NAVTEQ,2009Q2,ONENTITY, ,TGS,WATER PORT, ,PORT DIRECTOR, , , ,1,1
71,70,"PROVIDENCE PORT OF ENTRY, THEODORE FRANCIS GREEN AIRPORT",401-737-2176,2000 POST ROAD, ,WARWICK,RI,02886,1533,KENT,44003, , , , ,2010-01-06T00:00:00.000Z,ALT REF,2010-01-06T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,763069976,-71.4354224,41.7259214,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, , , , , ,0,0
72,71,"WICHITA PORT OF ENTRY, WICHITA MID-CONTINENT AIRPORT",316-946-9726,1700 AIRPORT ROAD,CARGO BUILDING,WICHITA,KS,67209, ,SEDGWICK,20173, , , , ,2009-09-10T00:00:00.000Z,ALT REF,2009-09-21T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,111525468,-97.4220426,37.6633265,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR,316-946-9704,8:00 AM - 4:30 PM, ,1,79
73,72,"COLUMBUS PORT OF ENTRY, RICKENBACKER INTERNATIONAL AIRPORT",614-497-1865,2241 JOHN CIRCLE DRIVE, ,COLUMBUS,OH,43217,1252,FRANKLIN,39049, , , , ,2009-09-18T00:00:00.000Z,ALT REF,2009-09-22T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,134051531,-82.9360649,39.817185,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR,614-497-1870,8:30 AM - 5:00 PM, ,1,138
74,73,"HARRISBURG PORT OF ENTRY, WILKES-BARRE / SCRANTON INTERNATIONAL AIRPORT",570-457-8024,100 TERMINAL DRIVE, ,AVOCA,PA,18641,2224,LUZERNE,42079, , , , ,2009-09-11T00:00:00.000Z,ALT REF,2009-09-11T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,125393257,-75.7288485,41.3373529,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR,717-457-8061,8:00 AM - 5:00 PM,1-877-CUSTOMS,1,154
75,74,"SYRACUSE PORT OF ENTRY, SYRACUSE HANCOCK INTERNATIONAL AIRPORT",315-455-8446,152 AIR CARGO ROAD,SUITE 201,NORTH SYRACUSE,NY,13212,3975,ONONDAGA,36067, , , , ,2009-09-14T00:00:00.000Z,PHONE,2009-09-14T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,771927319,-76.124028,43.1115712,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT, ,PORT DIRECTOR,315-454-8224,8:30 AM - 5:00 PM, ,1,134
76,75,"WILMINGTON PORT OF ENTRY, WILMINGTON INTERNATIONAL AIRPORT",910-815-4620,1740 AIRPORT BOULEVARD, ,WILMINGTON,NC,28405,8075,NEW HANOVER,37129, , , , ,2009-09-29T00:00:00.000Z,ALT REF,2009-09-29T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,722494071,-77.9104054,34.2738378,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, , , , , ,0,0
77,76,"SANTA MARIA PORT OF ENTRY, SANTA MARIA PUBLIC AIRPORT",805-739-2575,3335 CORSAIR CIRCLE, ,SANTA MARIA,CA,93455,2500,SANTA BARBARA,06083, , , , ,2009-09-17T00:00:00.000Z,ALT REF,2009-09-18T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,118014806,-120.446788,34.8978752,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, , , , , ,0,0
78,77,"PORT OF ENTRY AT ABERDEEN, PORT OF GRAYS HARBOR",360-532-2030,403 WEST STATE STREET, ,ABERDEEN,WA,98520,6139,GRAYS HARBOR,53027, , , , ,2009-09-16T00:00:00.000Z,PHONE,2009-09-16T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,42245722,-123.8196437,46.970499,NAVTEQ,2009Q2,ONENTITY,YES,TGS,WATER PORT, ,PORT DIRECTOR,360-532-1878,8:00 AM - 5:00 PM, ,1,193
79,78,"ALCAN PORT OF ENTRY, NORTHWAY AIRPORT",907-778-2223,6670 NORTHWAY ROAD, ,NORTHWAY,AK,99764, ,SOUTHEAST FAIRBANKS,02240,"CUSTOMS AND BORDER PROTECTION OFFICERS ARE NOT STATIONED ON SITE, MUST CALL PRIOR TO LANDING.", , , ,2010-01-05T00:00:00.000Z,PHONE,2010-01-07T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,124863622,-141.9282594,62.9628096,NAVTEQ,2009Q2,ONENTITY,NO,TGS,AIRPORT, , , , , ,0,0
80,79,"GULFPORT PORT OF ENTRY, GULFPORT-BILOXI INTERNATIONAL AIRPORT",228-863-6350,14108 CUSTOMS BOULEVARD, ,GULFPORT,MS,39503,4737,HARRISON,28047, , , , ,2009-09-11T00:00:00.000Z,ALT REF,2009-09-11T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,737500911,-89.0726085,30.4128859,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR,228-214-7010,8:00 AM - 5:00 PM, ,1,106
81,80,"EAGLE COUNTY REGIONAL AIRPORT PORT OF ENTRY, EAGLE COUNTY REGIONAL AIRPORT",970-524-0490,0871 COOLEY MESA ROAD,VAIL VALLEY JET CENTER,GYPSUM,CO,81637, ,EAGLE,08037, , , , ,2009-09-18T00:00:00.000Z,PHONE,2009-09-18T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,31823691,-106.9097796,39.6405575,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT, , , , , ,0,0
82,81,"GRAND RAPIDS PORT OF ENTRY, LUDINGTON SEAPORT",616-942-5245,6450 AIR CARGO DRIVE SOUTHEAST, ,GRAND RAPIDS,MI,49512,9705,MASON,26105,PORT HANDLES PLEASURE BOATS. PLOTTED AT APPROXIMATE ENTRANCE OF PORT. ADDRESS GOES TO ADMINISTRATION BUILDING., , , ,2010-01-06T00:00:00.000Z,ALT REF,2010-01-12T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,108010149,-86.4615787,43.954574,NAVTEQ,2009Q2,APPROXIMATE, ,TGS,WATER PORT, , , , , ,0,0
83,82,"SAULT SAINTE MARIE PORT OF ENTRY / SAGINAW/BAY CITY/FLINT PORT OF ENTRY, DETOUR SEAPORT",906-632-2631,900 INTERNATIONAL BRIDGE PLAZA, ,SAULT SAINTE MARIE,MI,49783, ,CHIPPEWA,26033,PORT HANDLES PLEASURE BOATS. PLOTTED AT APPROXIMATE CENTER OF PORT. ADDRESS GOES TO ADMINISTRATION BUILDING FOR THE SAULT SAINTE MARIE PORT OF ENTRY., , , ,2010-01-07T00:00:00.000Z,ALT REF,2010-01-07T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,107940247,-83.8988639,45.9945214,NAVTEQ,2009Q2,APPROXIMATE, ,TGS,WATER PORT, , , , , ,0,0
84,83,"GRAND RAPIDS PORT OF ENTRY, SOUTH HAVEN SEAPORT",616-942-5245,6450 AIR CARGO DRIVE SOUTHEAST, ,GRAND RAPIDS,MI,49512,9705,VAN BUREN,26159,PORT HANDLES PLEASURE BOATS. PLOTTED AT APPROXIMATE CENTER OF PORT. ADDRESS GOES TO ADMINISTRATION BUILDING., , , ,2010-01-07T00:00:00.000Z,ALT REF,2010-01-07T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,122987091,-86.2720206,42.4103153,NAVTEQ,2009Q2,APPROXIMATE, ,TGS,WATER PORT, , , , , ,0,0
85,84,"GRAND RAPIDS PORT OF ENTRY, GRAND HAVEN SEAPORT",616-942-5245,6450 AIR CARGO DRIVE SOUTHEAST, ,GRAND RAPIDS,MI,49512,9705,OTTAWA,26139,PLOTTED AT APPROXIMATE CENTER OF COMMERCIAL WATERFRONT AREA AT PORT. ADDRESS GOES TO ADMINISTRATION BUILDING., , , ,2010-01-06T00:00:00.000Z,ALT REF,2010-01-12T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,115637289,-86.2290342,43.0757166,NAVTEQ,2009Q2,APPROXIMATE, ,TGS,WATER PORT, , , , , ,0,0
86,85,"SAULT SAINTE MARIE PORT OF ENTRY / SAGINAW/BAY CITY/FLINT PORT OF ENTRY, ESCANABA SEAPORT",906-632-2631,900 INTERNATIONAL BRIDGE PLAZA, ,SAULT SAINTE MARIE,MI,49783, ,DELTA,26041,PLOTTED AT APPROXIMATE CENTER OF COMMERCIAL WATERFRONT AREA AT PORT. ADDRESS GOES TO ADMINISTRATION BUILDING FOR THE SAULT SAINTE MARIE PORT OF ENTRY., , , ,2010-01-07T00:00:00.000Z,ALT REF,2010-01-07T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,107944559,-87.0566217,45.7488954,NAVTEQ,2009Q2,APPROXIMATE, ,TGS,WATER PORT, , , , , ,0,0
87,86,"SAULT SAINTE MARIE PORT OF ENTRY / SAGINAW/BAY CITY/FLINT PORT OF ENTRY, MACKINAW ISLAND SEAPORT",906-632-2631,900 INTERNATIONAL BRIDGE PLAZA, ,SAULT SAINTE MARIE,MI,49783, ,MACKINAC,26097,PLOTTED AT APPROXIMATE CENTER OF COMMERCIAL WATERFRONT AREA AT PORT. ADDRESS GOES TO ADMINISTRATION BUILDING FOR THE SAULT SAINTE MARIE PORT OF ENTRY., , , ,2010-01-07T00:00:00.000Z,ALT REF,2010-01-07T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,122975579,-84.616956,45.848687,NAVTEQ,2009Q2,APPROXIMATE, ,TGS,WATER PORT, , , , , ,0,0
88,87,"SAGINAW/BAY CITY/FLINT PORT OF ENTRY / SAULT SAINTE MARIE PORT OF ENTRY, SAULT SAINTE MARIE AIRPORT",906-632-2631,2144 MERIDIAN STREET, ,SAULT SAINTE MARIE,MI,49783,2608,CHIPPEWA,26033,"CUSTOMS AND BORDER PROTECTION OFFICERS ARE NOT STATIONED ON SITE, MUST CALL PRIOR TO LANDING.", , , ,2010-01-06T00:00:00.000Z,ALT REF,2010-01-06T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,711249544,-84.3658772,46.4803813,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, , , , , ,0,0
